zone_id,multihazard_degree,neighbors
-1_121,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
1_126,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
-3_138,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
2_126,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
2_128,9,"depth_class:intermediate, depth_class:shallow, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
-7_116,9,"depth_class:deep, depth_class:shallow, depth_class:intermediate, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
-8_122,9,"depth_class:intermediate, depth_class:shallow, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
2_127,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
-7_131,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
-3_139,9,"depth_class:shallow, depth_class:intermediate, depth_class:deep, mag_band:4.0-4.5, mag_band:4.5-5.5, mag_band:5.5-6.5, mag_band:6.5+, tsunami_cat:tsunami_tidak, tsunami_cat:tsunami_ya"
